_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng
asset_8bdbedef34,583,National Industrial Court Of Nigeria,Office Building,Imo,Owerri,"No.4, Douglas Road,Beside Owerri Municipal Council, Amajeke",Owerri,owned,,5.489736,7.0341973
asset_1e8a065b03,584,National Industrial Court Of Nigeria,Office Building,Kano,Kano,"Plot 381, New Court Road Gyadi-Gyadi, Kano",Kano,2010,,11.9939978,8.5219738
asset_e06fc181e5,585,National Industrial Court Of Nigeria,Office Building,Gombe,Gombe,"Along Ashaka Road, Opposite Police HQ, Gombe",Gombe,Owned,,10.2822161,11.1629771
asset_db28899c93,586,National Industrial Court Of Nigeria,Office Building,Ondo,Akure,"Alfred Rewane Road, Opp Govt House, GRA. Alagbaka",Akure,Owned,,7.2525595,5.1932647
asset_41f4952ae8,587,National Industrial Court Of Nigeria,Office Building,Ondo,Akure,"Ala Road, Opp, CBN Quarters",Akure,Owned,,7.2525595,5.1932647
asset_7502a7e25a,588,National Industrial Court Of Nigeria,Office Building,Oyo,Ibadan,"Opp Federal High Court, New Adeoye Road, Off Ring Road",Ibadan,Owned,,7.3786064,3.8969928
asset_f821d31454,589,National Industrial Court Of Nigeria,Office Building,Kaduna,Kaduna,"21/23 Swimming Pool Road, Kabala Doki GRA",Kaduna,Owned,,10.5182899,7.4359863
asset_645cdbbf28,590,National Industrial Court Of Nigeria,Office Building,Enugu,Enugu,"No.5, Aguleri Street, Independence Layout, GRA",Enugu,Owned,,6.4496519,7.5136856
asset_7135202dec,591,National Industrial Court Of Nigeria,Office Building,Enugu,Enugu,"No.5, Lugard Avenue, GRA",Enugu,Owned,,6.4496519,7.5136856
asset_54163295fa,592,National Industrial Court Of Nigeria,Office Building,Plateau,Jos,"31A, DB Zang Way, Jos",Jos,Owned,,9.9175125,8.8979401
asset_552bda9361,593,National Industrial Court Of Nigeria,Office Building,Benue,Makurdi,"Adjacent Bank Of Agriculture, Otukpo Road, Makurdi",Makurdi,Owned,,7.7312634,8.538425
asset_5d7c75c5bd,594,National Industrial Court Of Nigeria,Office Building,Benue,Makurdi,Adjacent Federal High Court,Makurdi,Owned,,7.7312634,8.538425
asset_d3ed68ff03,595,National Industrial Court Of Nigeria,Office Building,Borno,Maiduguri,"Opposite 3RD Gate Of University Of Maiduguri, Bama Road",Maiduguri,Owned,,11.8395375,13.1536214
asset_0ed165b2ae,596,National Industrial Court Of Nigeria,Office Building,Cross River,Calabar,44/45 Murtala Muhammed HighWay,Calabar,Owned,,4.9795999,8.3373597
asset_d07f1ab67f,597,National Industrial Court Of Nigeria,Office Building,Cross River,Calabar,"6B Akim Close, State Housung Estate",Calabar,Owned,,4.9795999,8.3373597
asset_afe8bd711a,598,National Industrial Court Of Nigeria,Office Building,Akwa Ibom,Uyo,"Plot 2,3 and 6, Udo Udoma Avenue, Itiam Eloi, Uyo",Uyo,Owned,,4.990237,7.9974399
asset_e9262c4c99,599,National Industrial Court Of Nigeria,Office Building,Sokoto,Sokoto,"Guasau Road, Opp Federal Govt College, Sokoto",Sokoto,Owned,,13.0610588,5.2373194
asset_09322a0481,601,National Industrial Court Of Nigeria,Office Building,Anambra,Akwa,Customary Court Of Appeal Building,Akwa,Owned,,5.916667,7.016667
asset_f2891300ff,602,National Industrial Court Of Nigeria,Office Building,Niger,Minna,"No.2 IBB Way Opp. Police Station, Minna",Minna,Owned,,9.6187093,6.5475752
asset_044cbcc96d,603,National Industrial Court Of Nigeria,Office Building,Ebonyi,Abakakiliki,"High Court Of Justice Complex, Opp Govt House, Abakakiliki",Abakakiliki,Owned,,,
asset_2d2691af36,604,National Industrial Court Of Nigeria,Office Building,Rivers,PortHarcourt,"No.9, Bank Road, Behind Rivers State Judiciary, Old GRA, PH",PH,Owned,,4.8416028,6.8604088
asset_d08959db63,605,National Industrial Court Of Nigeria,Residential,"FCT, Abuja",AMAC,"No.81, Drive 6, Prince & Princess Estate",Gaduwa,Owned,,9.0552729,7.4662595
asset_5b6d0266c2,607,National Industrial Court Of Nigeria,Residential,"FCT, Abuja",AMAC,"No.2, Mainstreet, Suncity Estate",Galadimawa,Owned,,9.0552729,7.4662595
asset_9ea9d05aa0,608,National Industrial Court Of Nigeria,Residential,"FCT, Abuja",AMAC,"No.80, Mississipi Street, Maitama",Maitama,Owned,,9.0552729,7.4662595
asset_e32854e242,609,National Industrial Court Of Nigeria,Residential,"FCT, Abuja",AMAC,"No.58 Mississipi Street, Maitama",Maitama,Owned,,9.0552729,7.4662595
asset_7c6b67789e,610,National Industrial Court Of Nigeria,Residential,Lagos,Ikoyi,"N0.8, Bankole Oki Street, Ikoyi",Ikoyi,Owned,,6.4523431,3.4280523
asset_da5ffef47e,611,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,"3B, Iroche Street Lekki Phase 1",Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_d99aef8f9a,612,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,"5A Segun Oshin Close, Off Christ Avenue, Lekki, Phase 1",Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_6a85b7cf71,613,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,"G2, Goshen Beach Estate",Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_3976016e02,614,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,"G5, Goshen Beach Estate",Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_d05032c537,615,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,"E4, Goshen Beach Estate",Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_2d025bffe8,616,National Industrial Court Of Nigeria,Residential,Lagos,Lekki Phase I,11B Shola Oguntade Close,Lekki Phase 1,Owned,,6.4550575,3.3941795
asset_89c13070ad,617,National Industrial Court Of Nigeria,Residential,Lagos,"Sangotedo, Lekki","House 14/15,Royal Plan Villa",Sangotedo. Lekki,Owned,,6.4550575,3.3941795
asset_10ccfb7b5c,618,National Industrial Court Of Nigeria,Residential,Lagos,"Sangotedo, Lekki","House 16,Royal Plan Villa",Sangotedo. Lekki,Owned,,6.4550575,3.3941795
asset_d82031405c,619,National Industrial Court Of Nigeria,Residential,Lagos,"Sangotedo, Lekki",Royal Plan Villa,Sangotedo. Lekki,Owned,,6.4550575,3.3941795
asset_ff87d8b9c9,620,National Industrial Court Of Nigeria,Residential,Adamawa,Yola,"Army Barracks Road, Before Open University, Jimeta, Yola",National Open University,Owned,,9.2089255,12.4802485
asset_8b0565f1f2,621,National Industrial Court Of Nigeria,Residential,Imo,Owerri,"No.4, Orlu Road, Owerri",Owerri,Owned,,5.489736,7.0341973
